career_best_points,defence_touch_points,defending_bonus_points,empty_raid,green_cards,high_5s,location,match_played,name,not_out_percentage,player_id,player_team,player_team_arr,point,points_defence_offence,points_per_match_raid_tackle,raid_bonus_points,raid_map_locations,raid_points_per_match,raid_touch_points,raids,red_cards,role,series_id,series_name,success_raid_percent,success_raids,success_tackles,success_tackles_per_match,super_10s,super_raids,super_tackles,tackle_bonus_points,tackle_success_rate,tackles,total_capture_points,total_defending_points,total_raid_points,total_tackle_points,unsuccesful_tackles,unsuccess_raids,yellow_cards
20,21,0,667,18,0,,115,Ajay Thakur,77.53,26,0,"[{'team_id': 1, 'team_name': 'Bengaluru Bulls', 'team_short_name': 'Bengaluru', 'series_id': 1, 'series_name': 'Pro Kabaddi League Season 1, 2014', 'is_latest': True}, {'team_id': 1, 'team_name': 'Bengaluru Bulls', 'team_short_name': 'Bengaluru', 'series_id': 2, 'series_name': 'Pro Kabaddi League Season 2, 2015', 'is_latest': True}, {'team_id': 7, 'team_name': 'Puneri Paltan', 'team_short_name': 'Pune', 'series_id': 3, 'series_name': 'Pro Kabaddi League Season 3, 2016', 'is_latest': True}, {'team_id': 7, 'team_name': 'Puneri Paltan', 'team_short_name': 'Pune', 'series_id': 4, 'series_name': 'Pro Kabaddi League Season 4, 2016', 'is_latest': True}, {'team_id': 29, 'team_name': 'Tamil Thalaivas', 'team_short_name': 'Tamil Nadu', 'series_id': 8, 'series_name': 'Pro Kabaddi League Season 5, 2017', 'is_latest': True}, {'team_id': 29, 'team_name': 'Tamil Thalaivas', 'team_short_name': 'Tamil Nadu', 'series_id': 26, 'series_name': 'Pro Kabaddi League Season 6, 2018', 'is_latest': True}, {'team_id': 29, 'team_name': 'Tamil Thalaivas', 'team_short_name': 'Tamil Nadu', 'series_id': 49, 'series_name': 'Pro Kabaddi League Season 7, 2019', 'is_latest': True}]",811,811,7.05,124,,6.86,666,1687,0,,0,,46.82,640,21,0.18,29,23,0,,25.6,82,,21,790,21,61,379,1
16,9,1,64,1,,,14,Kashiling Adake,77.22,58,0,,122,122,8.71,29,,8.07,84,202,0,,1,"Pro Kabaddi League Season 1, 2014",55.94,92,8,0.57,,3,1,,36.0,25,,9,113,9,17,46,0
24,3,0,98,4,,,14,Kashiling Adake,76.76,58,0,,117,117,8.35,22,,8.14,92,241,0,,2,"Pro Kabaddi League Season 2, 2015",47.3,87,3,0.21,,7,0,,25.0,12,,3,114,3,9,56,0
12,3,0,76,0,,,11,Kashiling Adake,76.6,58,0,,78,78,7.09,18,,6.81,57,171,0,,3,"Pro Kabaddi League Season 3, 2016",43.85,55,3,0.27,,3,0,,23.07,13,,3,75,3,10,40,0
13,11,3,89,1,,,13,Kashiling Adake,77.77,58,0,,89,89,6.84,28,,6.0,50,189,0,,4,"Pro Kabaddi League Season 4, 2016",41.26,58,8,0.61,,3,3,,61.11,18,,11,78,11,10,42,0
17,8,1,92,0,,,20,Kashiling Adake,77.57,58,0,,122,122,6.1,28,,5.7,86,223,0,,8,"Pro Kabaddi League Season 5, 2017",51.12,81,7,0.35,,4,1,,50.0,16,,8,114,8,9,50,0
12,17,2,83,2,,,20,Kashiling Adake,81.7,58,0,,84,84,4.2,23,,3.35,44,164,0,,26,"Pro Kabaddi League Season 6, 2018",40.85,51,15,0.75,,3,2,,36.95,46,,17,67,17,31,30,0
24,51,7,502,8,,,92,Kashiling Adake,77.81,58,0,,612,612,6.65,148,,6.09,413,1190,0,,0,,47.14,424,44,0.47,,23,7,,39.23,130,,51,561,51,86,264,0
14,51,0,74,3,3,,16,Manjeet Chhillar,71.75,69,0,"[{'team_id': 1, 'team_name': 'Bengaluru Bulls', 'team_short_name': 'Bengaluru', 'series_id': 1, 'series_name': 'Pro Kabaddi League Season 1, 2014', 'is_latest': True}]",122,122,7.62,11,,4.43,60,177,0,,1,"Pro Kabaddi League Season 1, 2014",40.11,53,51,3.18,2,2,0,,60.71,84,,51,71,51,33,50,0
11,40,1,125,8,3,,16,Manjeet Chhillar,85.25,69,0,"[{'team_id': 1, 'team_name': 'Bengaluru Bulls', 'team_short_name': 'Bengaluru', 'series_id': 2, 'series_name': 'Pro Kabaddi League Season 2, 2015', 'is_latest': True}]",107,107,6.68,9,,4.18,58,217,0,,2,"Pro Kabaddi League Season 2, 2015",30.87,60,39,2.43,0,0,1,,51.28,78,,40,67,40,39,32,0
13,61,5,120,1,5,,15,Manjeet Chhillar,91.81,69,0,"[{'team_id': 7, 'team_name': 'Puneri Paltan', 'team_short_name': 'Pune', 'series_id': 3, 'series_name': 'Pro Kabaddi League Season 3, 2016', 'is_latest': True}]",106,106,7.06,4,,3.0,41,171,0,,3,"Pro Kabaddi League Season 3, 2016",26.31,37,56,3.73,0,2,5,,61.61,99,,61,45,61,43,14,2
11,44,1,38,4,5,,12,Manjeet Chhillar,75.32,69,0,"[{'team_id': 7, 'team_name': 'Puneri Paltan', 'team_short_name': 'Pune', 'series_id': 4, 'series_name': 'Pro Kabaddi League Season 4, 2016', 'is_latest': True}]",68,68,5.66,2,,2.0,22,77,0,,4,"Pro Kabaddi League Season 4, 2016",31.16,20,43,3.58,0,1,1,,60.27,73,,44,24,44,30,19,0
9,47,1,16,5,3,,15,Manjeet Chhillar,68.96,69,0,"[{'team_id': 3, 'team_name': 'Jaipur Pink Panthers', 'team_short_name': 'Jaipur', 'series_id': 8, 'series_name': 'Pro Kabaddi League Season 5, 2017', 'is_latest': True}]",52,52,3.46,1,,0.33,4,29,0,,8,"Pro Kabaddi League Season 5, 2017",17.24,4,46,3.06,0,0,1,,55.29,85,,47,5,47,39,9,0
8,59,5,18,6,2,,19,Manjeet Chhillar,79.31,69,0,"[{'team_id': 29, 'team_name': 'Tamil Thalaivas', 'team_short_name': 'Tamil Nadu', 'series_id': 26, 'series_name': 'Pro Kabaddi League Season 6, 2018', 'is_latest': True}]",67,67,3.52,4,,0.42,4,29,0,,26,"Pro Kabaddi League Season 6, 2018",27.58,5,54,2.84,0,0,5,,48.76,121,,59,8,59,67,6,2
6,37,2,13,1,2,,15,Manjeet Chhillar,68.42,69,0,"[{'team_id': 29, 'team_name': 'Tamil Thalaivas', 'team_short_name': 'Tamil Nadu', 'series_id': 49, 'series_name': 'Pro Kabaddi League Season 7, 2019', 'is_latest': True}]",41,41,2.73,4,,0.26,0,19,0,,49,"Pro Kabaddi League Season 7, 2019",21.05,0,35,2.33,0,0,2,,45.67,81,,37,4,37,46,6,0
